system:index,ARVI,B11,B12,B2,B3,B4,B5,B6,B7,B8,DVI,GRVI,HH,HV,IRECI,LAI,MTCI,NDVI,REIP,RVI,VH,VV,agbd,random,.geo
202010_078E_024N_734,0.6647174,1674.0,1143.0,411.0,646.0,691.0,1047.0,1789.0,1976.0,2054.0,1276.0,-0.043890867,16188,9557,1963.3057,3.6435297,2.6033332,0.475829,714.8304,2.815549,-15.359576765840888,-8.750095011879122,97.496742,0.7511285448076741,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.71892324321371,29.675250121894653]}"
202009_078E_024N_284,0.7826685,1397.0,739.0,161.0,304.0,327.0,580.0,1488.0,1734.0,1734.0,1263.0,0.0652921,4819,4108,3067.1345,5.779535,3.0041494,0.65890497,717.3363,4.8634686,-15.159002847727526,-8.45402995462036,136.971848,0.7511657823756351,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.74916615234474,29.694714935682185]}"
202007_078E_024N_197,0.82784027,1413.0,805.0,256.0,517.0,435.0,943.0,2233.0,2540.0,2632.0,2286.0,0.07521579,10909,5802,4871.402,5.8523526,3.1039183,0.70553505,717.1133,5.79198,-17.333078674124017,-11.38671070819702,231.995148,0.7513077157364597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69572154308722,29.69149228408871]}"
202010_078E_024N_652,0.75845015,1410.0,768.0,265.0,462.0,459.0,847.0,1703.0,1932.0,2063.0,1444.0,-0.0021023126,11553,6620,2368.6238,4.7264285,2.601583,0.61986303,715.5809,4.2612615,-16.807148858971583,-10.206302695329587,158.002014,0.7513388529247674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69321106531952,29.685827645083464]}"
202010_078E_024N_134,0.80859095,1667.0,955.5,273.0,581.0,481.0,986.5,2206.0,2466.0,2676.5,2046.0,0.08507094,6542,3144,3892.1836,5.951916,2.819674,0.68813896,715.85986,5.4131117,-14.962040437107465,-8.25326266494754,156.917526,0.7516190685451933,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.73611676109027,29.725723450554252]}"
202010_078E_024N_463,0.8729858,1107.0,502.0,127.0,273.0,178.0,500.0,1566.0,1907.0,1976.0,1799.0,0.22839506,6601,4675,5069.8145,7.5938673,3.6148868,0.8240741,718.18835,10.368421,-13.820865515304426,-7.280212878448162,70.563087,0.7516254685559164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75197185173562,29.697674179034056]}"
202005_078E_024N_607,0.84789646,1175.0,586.0,195.0,498.0,314.0,904.0,2139.0,2424.0,2559.0,1992.0,0.20702635,9341,5114,4551.204,6.42644,2.790099,0.76392156,714.86926,7.4717607,-16.825663205497623,-11.231940879494205,343.156006,0.7526066271441433,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.77966906422515,29.693645888751952]}"
202005_078E_024N_112,0.7709929,628.0,330.5,149.5,254.5,219.5,417.5,936.5,1102.5,1109.0,836.0,0.09147965,25808,6388,1961.2783,6.2082233,3.1938772,0.6531882,716.22156,4.7698812,-18.62192769384913,-12.217218944891913,441.485168,0.7526141799667289,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78917552578866,29.719677072373372]}"
202005_078E_024N_227,0.8496214,1481.0,752.0,193.5,418.0,243.5,690.0,2091.0,2537.5,2402.0,2138.0,0.27379376,6026,3555,5839.746,7.5730696,3.4051433,0.8057184,717.5699,9.2946615,-15.998287759446287,-9.733636051943998,137.963867,0.7530789680571607,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75411337957034,29.712583810374273]}"
202007_078E_024N_2,0.83203465,1517.0,765.0,304.0,642.0,425.0,1092.0,2783.0,3149.0,3361.0,2974.0,0.20461835,8365,4966,7455.625,7.1362123,3.133547,0.7754886,716.64886,7.908235,-16.799836394067004,-10.223263704681276,384.246948,0.7533182918317423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.72691483254496,29.738043043573278]}"
202008_078E_024N_240,0.77283293,1480.0,810.0,277.0,490.0,543.0,945.0,1830.0,2043.0,2201.0,1580.0,-0.026773762,7461,5044,2683.953,4.307012,2.4186046,0.5915758,715.14325,3.8968692,-14.756293909398398,-8.06525146611671,85.6220703125,0.7533486381674507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.76226383280049,29.680174048420078]}"
202008_078E_024N_114,0.8091348,1497.0,817.0,257.0,544.0,399.0,974.0,2323.0,2658.0,2662.0,2117.0,0.15401785,3622,2031,5001.7485,6.786862,2.8930817,0.7302441,716.3021,6.4141107,-17.55438100610425,-11.432508475454602,174.081955,0.753448005507182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78560590354307,29.694151652469795]}"
